RecordDate,Symbol,Series,Prev_Close,Day_Open,Day_High,Day_Low,Day_Last,Day_Close,VWAP,Volume,Turnover,Trades,Deliverable_Volume,Percent_Deliverable,Industry
2021-02-01,RELIANCE,EQ,1841.95,1859.4,1905,1848,1898.15,1895.3,1874.03,15774504,2956182067120000,370120,7864911,0.4986,OIL & GAS
2021-02-01,WIPRO,EQ,417.9,416.1,423.8,408.2,423.05,421.5,415.3,15081852,626346780645000,160816,3402788,0.2256,IT
2021-02-01,UPL,EQ,560.65,548.9,548.9,510,535.8,534.1,523.87,20250736,1060870608910000,278573,4466143,0.2205,FERTILISERS & PESTICIDES
2021-02-01,TECHM,EQ,961.4,961.9,961.9,921.15,947.95,941.75,938.77,6321189,593412344280000,205929,2246276,0.3554,IT
2021-02-01,ZEEL,EQ,220,222,229.5,214.2,227.05,227.2,221.65,12214573,270732192355000.03,69084,1530828,0.1253,MEDIA ENTERTAINMENT & PUBLICATION
2021-02-01,VEDL,EQ,161.25,161.05,172.5,161,170.85,171.35,166.95,17122983,285875501315000,63722,4544401,0.2654,METALS
2021-02-01,CIPLA,EQ,825.9,815,831,779.95,805.95,806.4,812.75,13856367,1126178313850000,202806,5604740,0.4045,PHARMA
2021-02-01,COALINDIA,EQ,125.9,126.4,129.75,125.85,129.3,129,127.82,12808349,163721354375000,55486,2802614,0.2188,METALS
2021-02-01,BRITANNIA,EQ,3501.1,3539,3557.9,3483,3532,3520.75,3517.76,544282,191465584125000,44553,271815,0.4994,CONSUMER GOODS
2021-02-01,AXISBANK,EQ,662.9,665,717,654.35,714,709.35,686.12,30648270,2102828641785000,420444,10100954,0.3296,FINANCIAL SERVICES
2021-02-01,ASIANPAINT,EQ,2407.35,2426.6,2467.75,2376.9,2466.8,2447.8,2415.26,1797359,434108863085000.06,113027,550822,0.3065,CONSUMER GOODS
2021-02-01,ADANIPORTS,EQ,509.7,514.3,545.45,500.1,543.8,542.75,521.81,10259084,535325491715000,144291,2226831,0.2171,SERVICES
2021-02-01,BAJAJ-AUTO,EQ,4005.8,4064,4141,3975.05,4134,4114.7,4062.37,745011,302650921105000,52946,117784,0.15810000000000002,AUTOMOBILE
2021-02-01,BAJFINANCE,EQ,4734.55,4775,5080,4666.5,5075,5058.6,4902.27,4290745,2103438576585000,223331,662056,0.1543,FINANCIAL SERVICES
2021-02-01,BAJAJFINSV,EQ,8722.75,8750,9838.9,8638,9740,9721.8,9296.79,1565365,1455286224200000,144130,252052,0.161,FINANCIAL SERVICES
2021-02-01,BPCL,EQ,383.6,388,397.9,380.6,393.6,393,389.88,13938368,543424399905000,133560,4405316,0.3161,OIL & GAS
2021-02-01,BHARTIARTL,EQ,553.6,559,581.1,549.2,580,579.15,566.42,13951025,790218055990000,189069,4657886,0.33390000000000003,TELECOM
2021-02-01,HCLTECH,EQ,914,919,933.75,896.35,932.1,928.35,915.3,8651478,791868153335000,208551,4001582,0.4625,IT
2021-02-01,GRASIM,EQ,1055.65,1060,1130.8,1047.35,1130.5,1125.65,1092.85,2099126,229402238750000,60712,516469,0.246,CEMENT & CEMENT PRODUCTS
2021-02-01,INDUSINDBK,EQ,846.1,859,981.4,856,974.2,970.6,931.95,38067807,3547712531675000,553461,8238936,0.2164,FINANCIAL SERVICES
2021-02-01,INFY,EQ,1239.05,1250.55,1277.95,1241,1267.1,1260.9,1255.6,8880279,1115010443225000,232672,4479182,0.5044,IT
2021-02-01,HINDUNILVR,EQ,2263.9,2276.65,2285,2226.2,2255,2248.6,2253.01,2717591,612275435605000,127202,1638783,0.603,CONSUMER GOODS
2021-02-01,ICICIBANK,EQ,537,552,609.45,551,608.75,603.8,580.42,69354326,4025474801030001,677016,21819254,0.3146,FINANCIAL SERVICES
2021-02-01,HDFCBANK,EQ,1390.5,1410.25,1482.5,1401,1480,1476.75,1439.43,13185272,1897923148945000,301952,6454236,0.4895000000000001,FINANCIAL SERVICES
2021-02-01,HDFC,EQ,2377.8,2402.7,2602.1,2391.85,2580,2579.25,2497.4,7106502,1774777982234999.8,313341,3471229,0.4885000000000001,FINANCIAL SERVICES
2021-02-01,HEROMOTOCO,EQ,3256.05,3300,3360.8,3217.25,3356,3340.65,3298.59,1285163,423923012320000,89587,369460,0.28750000000000003,AUTOMOBILE
2021-02-01,HINDALCO,EQ,226.3,227.35,243.95,226.55,242,241.15,234.75,12417894,291515841435000,121835,3976728,0.32020000000000004,METALS
2021-02-01,SBIN,EQ,282.1,285.1,313.9,282.75,313,310.7,300.59,103414068,3108566789260000,571788,29428379,0.2846,FINANCIAL SERVICES
